what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1471458932509
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471458933350
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1471458933708
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1471458933837
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471458938704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471458941738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471458942487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471458947268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471458952918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471458955701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471458966345
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471458969135
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471458973812
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471458978627
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471458978671
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471458978693
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471458979591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1471458980459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471458980473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471458982429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459028663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459033927
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471459036429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459037891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459042610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459043593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459046899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459048979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459051074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459052864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459055170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459058698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459060566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459064978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459069222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459069845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459070912
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471459073358
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471459076480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471459094415
