what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029563178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029566252
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1481029567492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029567518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029568618
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1481029569105
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481029569477
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1481029570396
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1481029572472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029774766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1481029774857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1481029791778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1481029802087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1481029842393
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1481029849295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029850878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029852827
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1481029856434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1481029862256
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1481029863452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029865100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029866525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029870575
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1481029872008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481029872026
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1481029873134
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481029873564
