what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1471994747637
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1471994747643
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1471994747644
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1471994747645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471994775438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471994777204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1471994783333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994783367
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471994784633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994788066
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1471994791653
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471994791758
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471994791763
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471994791773
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1471994791785
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1471994791868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471994791868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994791878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994795043
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471994799072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1471994826663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994826678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994830874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1471994850531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994850549
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471994852112
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1471994852284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994855977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994861819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994866788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994867110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994870032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994870413
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1471994874228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994880084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994883194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994884695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471994885237
