what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630585128
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471630589197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630596776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630596950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630597122
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1471630597775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630598282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630598783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630598813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630598846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630598876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630598907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630598939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630598970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630599001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630599032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630599062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630599243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630599411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630599579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630599746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630600193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630601032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630601524
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471630626056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630627307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630627642
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630630397
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471630631551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630634772
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1471630635366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630635376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630635434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630637397
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630643320
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471630643583
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1471630644443
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630648498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630652491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630657399
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471630683534
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1471630739691
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471630754231
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471630756607
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471630768921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630772265
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1471630772918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630772929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630773003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630775805
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471630781241
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630781496
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471630781705
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1471630782610
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630787195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630789186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630796465
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471630799064
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471630808801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630811073
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1471630811800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630811810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630811857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630814185
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630818266
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471630819325
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630820736
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471630820955
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1471630821845
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630826344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630827540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630839847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630843068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630843487
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471630844580
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471630849375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630852205
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1471630852916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630852926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630852973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630855248
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630857572
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471630858781
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630861398
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471630861636
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1471630862494
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630867207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630868602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630884229
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471630900047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471630903261
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471630907715
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471630912322
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471630916824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630918874
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1471630919514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630919524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630919609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630921067
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630921715
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471630925572
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630926832
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471630927081
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1471630927937
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471630932461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630934110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630939556
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471630946434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471630951711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631435757
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471631449494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631453662
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1471631454546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631454561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631454626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631456690
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471631460550
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471631461759
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471631463174
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471631463460
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1471631464311
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471631468859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631472102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631478546
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471631480719
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471631485871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631488473
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1471631489128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631489137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631489184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631490670
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471631496925
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471631497113
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1471631498021
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471631502553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631505440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631512513
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471631529144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631530353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631577741
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471631580518
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471631590726
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471631595942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631597928
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1471631598698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631598709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631598809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471631600026
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1471631606700
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471631606989
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1471631607851
