what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472213723570
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472213724213
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472213744438
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1472213745340
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472213747389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472213749825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472213777054
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472213777086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1472213783567
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472213785142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472213787253
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472213788462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472213788474
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472213789114
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472213809344
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1472213810252
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472213812361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472213813926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214013947
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472214015326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214022219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214025640
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1472214037758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1472214038264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472214038893
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1472214040724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472214041595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1472214045937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1472214049102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214050048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214166784
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472214170813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214174165
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472214179788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214179799
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214180517
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472214200974
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1472214201884
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214203892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214211894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214260205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214261486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214262476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214263369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214276933
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472214276960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214290855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214315354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214319674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214334767
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472214346716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214350056
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472214350681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214350692
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214351314
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472214371535
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1472214372485
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214374505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214377257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214392256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214393488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214394091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214394787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214413812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214415061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214469476
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472214473368
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472214478714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1472214479857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1472214481461
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1472214482794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1472214485900
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472214487131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214489599
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472214493640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214493653
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214494428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214515117
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472214515261
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1472214516060
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214518130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214581933
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472214581962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214583930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214596549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214607724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214646892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214662106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214675489
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214675562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214676816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214679531
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472214679593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1472214706396
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472214708225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214710542
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472214713317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214713328
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214714063
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472214734294
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1472214735204
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214737267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214742518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214772917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214809593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214839012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214843166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214858774
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472214858796
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472214860156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214874232
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472214875073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214875085
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214875771
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472214896073
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1472214897031
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214899219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214902414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214920240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214921376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214934874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214936100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214941838
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472214941878
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472214942863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214944678
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472214945321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214945330
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214945894
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472214966132
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1472214967035
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472214969102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214975582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472214997178
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472214997213
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472214998878
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472214998907
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1472215030378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1472215067711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1472215068096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1472215068417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1472215069595
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.lowerCase",1472215071681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1472215074327
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1472215086215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1472215094801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215094814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215098105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1472215108063
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472215125011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215127261
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472215128676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215128685
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472215129280
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472215149501
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1472215150407
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472215152380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215154241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215154997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215155341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215160343
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472215161832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215164841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215166918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1472215189196
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472215190781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215193392
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472215194590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215194598
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472215195235
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472215215505
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1472215216368
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472215218461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215219708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215234662
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472215234686
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472215254868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215257455
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1472215258042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215258051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215258162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472215259863
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472215261161
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472215281717
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472215286143
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1472215287241
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1472215287665
opened,view,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1472215288381
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1472215288615
