what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600554476
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1477600559761
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1477600559799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1477600601300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600601311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600604806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600613630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600616066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600617253
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1477600618762
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1477600619609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600631920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600633734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600637410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600643504
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477600644210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600646702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600652432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600656670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600656992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600659950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600660236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600667175
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1477600685539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600686041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600686049
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1477600699000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600699011
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477600699740
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477600701068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600703016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600708872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600708876
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1477600726298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600726308
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477600726940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477600727924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600729820
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477600731769
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1477600732222
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1477600732224
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1477600732224
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1477600732224
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1477600732224
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1477600732225
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1477600732225
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1477600732225
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1477600732225
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1477600732225
