what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069136190
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472069136874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069136885
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472069137538
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472069138085
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472069140887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069200466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069235939
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472069239768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069241896
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472069242686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069242704
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472069243434
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472069244034
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472069246825
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472069427391
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472069432679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069434791
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472069435440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069435450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069435542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069437135
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472069438534
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472069439133
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472069441879
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472069589001
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472069595722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069598903
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472069599601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069599614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069599777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069600601
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472069602016
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1472069602580
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1472069605361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069620847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069625433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069636751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069639448
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1472069641101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1472069643299
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1472069644824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069646960
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1472069647695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069647709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069647816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472069649637
